Screen: 1920x1080
╭───────────────────────────────────╮
│ STM32 Mouse Jiggler — Recording   │
│ Duration: 30s  Port: /dev/ttyUSB0 │
╰───────────────────────────────────╯
Pinging STM32...
✓ STM32 connected
Erasing flash...
✓ Flash erased
Parking cursor at screen center (960, 540)...
Center parked. Recording starts in 3...
2...
1...
✓ Recording — move your mouse! (started at center 960, 540)

  [█░░░░░░░░░░░░░░░░░░░░░░░░░░░░░]   3.3%     29s left  sent:1  fail:0      [██░░░░░░░░░░░░░░░░░░░░░░░░░░░░]   6.7%     28s left  sent:2  fail:0      [███░░░░░░░░░░░░░░░░░░░░░░░░░░░]  10.0%     27s left  sent:3  fail:0      SENT dx=  -1 dy=  +0 delay=  163ms  sum=(   -1,   +0)
  SENT dx=  -1 dy=  -1 delay=    0ms  sum=(   -2,   -1)
  SENT dx=  -1 dy=  +0 delay=    0ms  sum=(   -3,   -1)
  SENT dx=  -1 dy=  +0 delay=    2ms  sum=(   -4,   -1)
  SENT dx=  -1 dy=  +0 delay=    0ms  sum=(   -5,   -1)
  SENT dx=  -1 dy=  +0 delay=    2ms  sum=(   -6,   -1)
  SENT dx=  -1 dy=  +0 delay=    0ms  sum=(   -7,   -1)
  SENT dx=  -1 dy=  +0 delay=    1ms  sum=(   -8,   -1)
  SENT dx=  -1 dy=  +0 delay=    4ms  sum=(   -9,   -1)
  SENT dx=  -1 dy=  +0 delay=    0ms  sum=(  -10,   -1)
  SENT dx=  -1 dy=  +0 delay=   12ms  sum=(  -11,   -1)
  SENT dx=  -1 dy=  +0 delay=    0ms  sum=(  -12,   -1)
  SENT dx=  -1 dy=  +0 delay=   10ms  sum=(  -13,   -1)
  SENT dx=  -1 dy=  +0 delay=    0ms  sum=(  -14,   -1)
  SENT dx=  -1 dy=  +0 delay=   17ms  sum=(  -15,   -1)
  SENT dx=  -1 dy=  +0 delay=    7ms  sum=(  -16,   -1)
  SENT dx=  -1 dy=  +0 delay=    0ms  sum=(  -17,   -1)
  SENT dx=  -1 dy=  +0 delay=    7ms  sum=(  -18,   -1)
  SENT dx=  -1 dy=  +0 delay=    5ms  sum=(  -19,   -1)
  SENT dx=  -1 dy=  +0 delay=    1ms  sum=(  -20,   -1)
  SENT dx=  -2 dy=  +0 delay=    0ms  sum=(  -22,   -1)
  SENT dx=  -1 dy=  +0 delay=    0ms  sum=(  -23,   -1)
  SENT dx=  -2 dy=  +0 delay=    2ms  sum=(  -25,   -1)
  SENT dx=  -2 dy=  +0 delay=    4ms  sum=(  -27,   -1)
  SENT dx=  -3 dy=  +0 delay=    0ms  sum=(  -30,   -1)
  SENT dx=  -4 dy=  +0 delay=    0ms  sum=(  -34,   -1)
  SENT dx=  -3 dy=  +0 delay=    5ms  sum=(  -37,   -1)
  SENT dx=  -4 dy=  +0 delay=    0ms  sum=(  -41,   -1)
  SENT dx=  -4 dy=  +0 delay=    3ms  sum=(  -45,   -1)
  SENT dx=  -5 dy=  +0 delay=    0ms  sum=(  -50,   -1)
  SENT dx=  -6 dy=  +0 delay=    2ms  sum=(  -56,   -1)
  SENT dx=  -6 dy=  -1 delay=    0ms  sum=(  -62,   -2)
  SENT dx=  -6 dy=  +0 delay=    1ms  sum=(  -68,   -2)
  SENT dx=  -8 dy=  +0 delay=    0ms  sum=(  -76,   -2)
  SENT dx=  -6 dy=  -1 delay=    0ms  sum=(  -82,   -3)
  SENT dx=  -7 dy=  +0 delay=    1ms  sum=(  -89,   -3)
  SENT dx=  -6 dy=  +0 delay=    0ms  sum=(  -95,   -3)
  SENT dx=  -8 dy=  +0 delay=    0ms  sum=( -103,   -3)
  SENT dx=  -7 dy=  +0 delay=    4ms  sum=( -110,   -3)
  SENT dx=  -6 dy=  +0 delay=    0ms  sum=( -116,   -3)
  SENT dx=  -6 dy=  +0 delay=    2ms  sum=( -122,   -3)
  SENT dx=  -7 dy=  +0 delay=    0ms  sum=( -129,   -3)
  SENT dx=  -6 dy=  +0 delay=    2ms  sum=( -135,   -3)
  SENT dx=  -6 dy=  +0 delay=    0ms  sum=( -141,   -3)
  SENT dx=  -6 dy=  +0 delay=    1ms  sum=( -147,   -3)
  SENT dx=  -6 dy=  +0 delay=    0ms  sum=( -153,   -3)
  SENT dx=  -4 dy=  +0 delay=    0ms  sum=( -157,   -3)
  SENT dx=  -6 dy=  +0 delay=    4ms  sum=( -163,   -3)
  SENT dx=  -5 dy=  +0 delay=    0ms  sum=( -168,   -3)
  SENT dx=  -5 dy=  +0 delay=    0ms  sum=( -173,   -3)
  SENT dx=  -4 dy=  +0 delay=    4ms  sum=( -177,   -3)
  SENT dx=  -5 dy=  +0 delay=    0ms  sum=( -182,   -3)
  SENT dx=  -4 dy=  +0 delay=    3ms  sum=( -186,   -3)
  SENT dx=  -4 dy=  +1 delay=    0ms  sum=( -190,   -2)
  SENT dx=  -3 dy=  +1 delay=    2ms  sum=( -193,   -1)
  SENT dx=  -4 dy=  +1 delay=    0ms  sum=( -197,   +0)
  SENT dx=  -3 dy=  +1 delay=    1ms  sum=( -200,   +1)
  SENT dx=  -2 dy=  +1 delay=    0ms  sum=( -202,   +2)
  SENT dx=  -3 dy=  +1 delay=    0ms  sum=( -205,   +3)
  SENT dx=  -2 dy=  +1 delay=    0ms  sum=( -207,   +4)
